t,m,i,F 00-03,F 04-08,F 09-13,F 14-18,F 19-30,F 31-50,F 51+,M 00-03,M 04-08,M 09-13,M 14-18,M 19-30,M 31-50,M 51+,M NA,log HSize,F NA
2017-18,Kayes,5003,3,3,1,,4,1,,3,3,2,1,1,5,,,3.295836866,
2017-18,Kayes,5004,1,,1,2,,,1,,,,4,1,,1,,2.397895273,
2017-18,Kayes,5006,,,2,,,1,,,,,,,,1,,1.386294361,
2017-18,Kayes,5007,,2,,,2,,1,1,,,,1,,,,1.945910149,
2017-18,Kayes,5008,,,,,,,1,,,,,,1,2,,1.386294361,
2017-18,Kayes,5009,3,5,4,2,4,2,,1,,4,,,4,,,3.36729583,
2017-18,Kayes,50001,2,1,,1,1,2,1,1,2,2,1,1,2,,,2.833213344,
2017-18,Kayes,50002,,,,,1,,,,,1,2,1,,1,,1.791759469,
2017-18,Kayes,50003,,,,,,,1,,,,1,,,1,,1.098612289,
2017-18,Kayes,50004,,1,1,2,2,2,1,,1,1,2,7,1,2,,3.135494216,
2017-18,Kayes,50005,,,,2,,1,,,,,,,,,,1.098612289,
2017-18,Kayes,50006,1,1,,,1,1,,,2,1,,,2,,,2.197224577,
2017-18,Kayes,50007,,,,,,,,,,,,,4,,,1.386294361,
2017-18,Kayes,50008,,,,,,,,,1,1,1,,,1,,1.386294361,
2017-18,Kayes,50009,,,2,1,1,1,1,,1,,1,4,,1,,2.564949357,
2017-18,Ségou,500001,,,1,,,1,,,1,1,,,,1,,1.609437912,
2017-18,Ségou,500002,,,,,1,,,1,1,,1,,1,,,1.609437912,
2017-18,Ségou,500003,1,,,,,1,,,1,2,1,3,,1,,2.302585093,
2017-18,Ségou,500004,,,,,1,,1,2,,1,,,1,,,1.791759469,
2017-18,Ségou,500005,,1,1,,,1,,,1,,2,,,1,,1.945910149,
2017-18,Ségou,500006,,,,1,1,,,,1,1,,,1,,,1.609437912,
2017-18,Ségou,500007,1,,1,,1,,,1,,,,1,,,,1.609437912,
2017-18,Ségou,500008,1,,,1,1,1,,,1,2,2,2,1,,,2.48490665,
2017-18,Ségou,500009,,,,,1,1,,,,,1,,,1,,1.386294361,
2017-18,Ségou,501001,1,,,,1,,,1,,,,,1,,,1.386294361,
2017-18,Ségou,501002,,2,,,1,,,,,,,,1,,,1.386294361,
2017-18,Ségou,501003,,,,,1,,,1,,,,,1,,,1.098612289,
2017-18,Ségou,501004,,1,,,1,,,2,1,,,,1,,1,1.945910149,
2017-18,Ségou,501005,,,,1,3,2,2,,,,,1,,1,,2.302585093,
2017-18,Ségou,501006,,2,1,2,1,1,,1,,,,1,2,,,2.397895273,
2017-18,Ségou,501007,,,,,,5,,,,,,,4,,,2.197224577,
2017-18,Ségou,501008,,,2,1,2,,1,2,,,,,1,,,2.197224577,
2017-18,Ségou,501009,,1,,1,1,1,,1,1,1,,,2,,,2.197224577,
2017-18,Ségou,502001,,,,1,1,1,1,,,,1,2,1,,,2.079441542,
2017-18,Ségou,502002,,1,1,1,,1,,,,1,1,1,,1,,2.079441542,
2017-18,Ségou,502003,,2,,,1,,,,,,,1,,,,1.386294361,
2017-18,Ségou,502004,,1,1,,1,,,2,,,,,1,,,1.791759469,
2017-18,Ségou,502005,,1,,,,1,,1,1,2,1,,1,,,2.079441542,
2017-18,Ségou,502006,,,2,2,2,1,,,1,,,,1,,,2.197224577,
2017-18,Ségou,502007,,1,2,,,1,,1,,,,,,,,1.609437912,
2017-18,Ségou,502008,,1,,,2,2,2,,,,,,,1,,2.079441542,
2017-18,Ségou,502009,1,,1,,,2,,,,,,,,1,,1.609437912,
2017-18,Ségou,503001,1,2,1,1,,1,,1,,1,,1,1,,,2.302585093,
2017-18,Ségou,503002,1,,,,1,,,,,1,2,,1,,,1.791759469,
2017-18,Ségou,503003,,1,1,2,1,1,,1,,1,,,,1,,2.197224577,
2017-18,Ségou,503004,,1,2,,,1,,2,,,,,1,,,1.945910149,
2017-18,Ségou,503005,,,,,1,,,,,,,,1,,,0.6931471806,
2017-18,Ségou,503006,2,,2,1,1,1,,,1,,3,,2,,,2.564949357,
2017-18,Ségou,503007,,,,,,,1,,,,1,2,,,,1.386294361,
2017-18,Ségou,503008,,,1,1,1,1,,,1,1,2,3,,1,,2.48490665,
2017-18,Ségou,503009,,1,,,,1,,,,1,,,1,,,1.386294361,
2017-18,Ségou,504001,,,,,1,,1,,,,,,,,,0.6931471806,
2017-18,Ségou,504002,,1,,,,1,,1,,,1,,,1,,1.609437912,
2017-18,Ségou,504003,,,,,1,1,,,,,,,,1,,1.098612289,
2017-18,Ségou,504004,,,,,1,,,,,,,,1,,,0.6931471806,
2017-18,Ségou,504005,,2,,,,1,,,,,1,1,,1,,1.791759469,
2017-18,Ségou,504006,1,3,1,,2,,,1,1,,1,,1,,,2.397895273,
2017-18,Ségou,504007,,,,,,,,1,,,,,1,,,0.6931471806,
2017-18,Ségou,504008,,,,,,1,,,,,1,2,,1,,1.609437912,
2017-18,Ségou,504009,,,,,1,,,,1,1,1,,,1,,1.609437912,
2017-18,Ségou,505001,1,1,,,1,,,,1,,,1,2,,,1.945910149,
2017-18,Ségou,505002,,,1,1,1,1,2,,,,,1,,2,,2.197224577,
2017-18,Ségou,505003,1,1,,,1,,,,,1,,,1,,,1.609437912,
2017-18,Ségou,505004,1,1,1,,,1,,,1,,,,,,,1.609437912,
2017-18,Ségou,505005,,,,,,1,,,,3,1,2,,,,1.945910149,
2017-18,Ségou,505006,,,,,,,,,,,,1,1,,,0.6931471806,
2017-18,Ségou,505007,,,,,1,,,1,1,1,,,1,,,1.609437912,
2017-18,Ségou,505008,,,,,,2,1,,,,,,1,1,,1.609437912,
2017-18,Ségou,505009,,,1,,,1,,,1,,2,,,,,1.609437912,
2017-18,Ségou,506001,1,2,1,,,3,3,,1,1,1,1,,2,,2.772588722,
2017-18,Ségou,506002,,,,1,1,1,,1,1,,,,1,,,1.791759469,
2017-18,Ségou,506003,1,,1,,1,1,1,,1,,1,,,,,1.945910149,
2017-18,Ségou,506004,,,,1,,,1,,,,,,,1,,1.098612289,
2017-18,Ségou,506005,,,,,,,1,,,,,,1,,,0.6931471806,
2017-18,Ségou,506006,,,,3,,1,,2,,1,,1,1,,,2.197224577,
2017-18,Ségou,506007,,2,,,,1,,1,,,,,1,,,1.609437912,
2017-18,Ségou,506008,,1,,,1,,,1,,,,1,1,,,1.609437912,
2017-18,Ségou,506009,,,,,,,1,,,,,1,,,,0.6931471806,
2017-18,Ségou,507001,1,1,3,1,1,,1,1,1,,,,1,,,2.397895273,
2017-18,Ségou,507002,,1,,,1,,,,,,,,1,,,1.098612289,
2017-18,Ségou,507003,1,,,,,1,,1,,,,,1,,,1.386294361,
2017-18,Ségou,507004,,,,1,1,1,1,1,,,,,,,,1.609437912,
2017-18,Ségou,507005,,,,,1,,,1,,1,,,1,,,1.386294361,
2017-18,Ségou,507006,,,1,1,,1,,,2,,2,,,2,,2.197224577,
2017-18,Ségou,507007,,,3,1,,1,,,3,,,,,1,,2.197224577,
2017-18,Ségou,507008,,,,,1,,,,,,,1,,,,0.6931471806,
2017-18,Ségou,507009,,1,,,,,1,,4,1,1,2,,1,,2.397895273,
2017-18,Ségou,508001,,,,,,1,,,1,1,,,,1,,1.386294361,
2017-18,Ségou,508002,1,,,,1,1,,2,1,1,,,1,,,2.079441542,
2017-18,Ségou,508003,,,1,,,2,,,2,1,,1,1,1,,2.197224577,
2017-18,Ségou,508004,,1,,1,,,,,,,,1,,,,1.098612289,
2017-18,Ségou,508005,6,3,3,3,5,,1,2,5,2,3,2,2,1,,3.63758616,
2017-18,Ségou,508006,1,2,,1,3,3,1,5,4,2,,2,5,1,,3.401197382,
2017-18,Ségou,508007,3,2,2,1,2,3,,2,2,1,1,1,1,2,,3.135494216,
2017-18,Ségou,508008,,1,1,1,,1,,1,1,,2,1,,1,,2.302585093,
2017-18,Ségou,508009,2,1,,2,2,1,,3,,,,1,2,,,2.63905733,
2017-18,Ségou,509001,2,1,,,2,1,1,1,1,,,,1,1,,2.397895273,
2017-18,Ségou,509002,1,1,,1,1,2,,,2,2,1,2,1,1,,2.708050201,
2017-18,Ségou,509003,,1,,,2,,1,1,2,,,2,1,1,,2.397895273,
2017-18,Ségou,509004,2,2,,1,1,1,,,1,2,,1,1,1,,2.564949357,
2017-18,Ségou,509005,2,2,1,1,2,1,1,,1,2,3,2,1,1,,2.995732274,
2017-18,Ségou,509006,,2,,1,2,,1,,1,2,1,2,1,1,,2.63905733,
2017-18,Ségou,509007,2,,2,,2,,,,2,1,1,1,1,,,2.48490665,
2017-18,Ségou,509008,1,2,,1,,4,,,2,2,2,,,2,,2.772588722,
2017-18,Ségou,509009,1,1,2,1,1,1,,1,1,,1,,2,,,2.48490665,
2017-18,Kayes,51001,,,,1,,1,,2,2,1,,,,,,1.945910149,
2017-18,Kayes,51002,,,,,,2,,1,,,,,,1,,1.386294361,
2017-18,Kayes,51003,,,,1,,,1,,,,,1,,,,1.098612289,
2017-18,Kayes,51004,,,,,,,1,,,,,,,1,,0.6931471806,
2017-18,Kayes,51005,1,,,,1,1,,1,2,,,1,2,,,2.197224577,
2017-18,Kayes,51006,,,,,1,,,1,1,,,,1,,,1.386294361,
2017-18,Kayes,51007,,,1,,1,,,1,2,,,,1,,,1.791759469,
2017-18,Kayes,51008,,1,,,,1,,,,1,1,,,1,,1.609437912,
2017-18,Kayes,51009,1,,,,,2,,1,2,1,1,,1,,,2.197224577,
2017-18,Ségou,510001,2,2,,2,1,4,1,2,4,5,3,2,2,1,,3.433987204,
2017-18,Ségou,510002,3,4,2,,3,1,2,3,1,2,1,1,2,1,,3.258096538,
2017-18,Ségou,510003,1,1,1,,,1,2,,1,2,3,,1,1,,2.63905733,
2017-18,Ségou,510004,2,,1,,1,3,2,3,4,2,3,2,2,1,,3.258096538,
2017-18,Ségou,510005,5,3,,1,,5,1,2,4,4,1,1,2,2,,3.433987204,
2017-18,Ségou,510006,1,,2,,,2,1,,5,1,2,1,1,1,,2.833213344,
2017-18,Ségou,510007,2,,,,1,,1,,,,,1,,,,1.609437912,
2017-18,Ségou,510008,,1,,,1,3,2,2,,,,2,,2,,2.564949357,
2017-18,Ségou,510009,,1,3,,,2,,4,2,1,1,,1,,,2.708050201,
2017-18,Ségou,511001,1,2,2,1,,1,,,,,,,1,,,2.079441542,
2017-18,Ségou,511002,2,3,2,1,1,1,1,1,1,2,1,1,2,,,2.944438979,
2017-18,Ségou,511003,,,,2,,1,,1,,,,3,,1,,2.079441542,
2017-18,Ségou,511004,2,,,,2,1,,,1,,2,3,,1,,2.48490665,
2017-18,Ségou,511005,3,1,,,1,1,,1,2,,,,1,1,,2.397895273,
2017-18,Ségou,511006,1,2,,,1,,,,1,1,,,1,,,1.945910149,
2017-18,Ségou,511007,6,3,1,,5,1,1,3,4,5,1,4,2,1,,3.610917913,
2017-18,Ségou,511008,1,2,1,,1,,,,,1,,,1,,,1.945910149,
2017-18,Ségou,511009,,1,,,,1,,1,1,1,1,,,1,,1.945910149,
2017-18,Ségou,512001,,1,,1,2,2,,,1,1,,2,,1,,2.397895273,
2017-18,Ségou,512002,2,1,,,1,,,,1,1,1,,1,,,2.079441542,
2017-18,Ségou,512003,,2,2,,1,1,,1,2,1,1,,1,,,2.48490665,
2017-18,Ségou,512004,,1,1,,,1,,,,,,,,1,,1.386294361,
2017-18,Ségou,512005,,1,,,,1,,2,,,,,1,,,1.609437912,
2017-18,Ségou,512006,1,1,,,1,,,1,1,1,,,1,,,1.945910149,
2017-18,Ségou,512007,,,2,1,,1,2,,1,,2,,,,,2.197224577,
2017-18,Ségou,512008,,,,,1,,,1,1,,,1,,,,1.386294361,
2017-18,Ségou,512009,,,,,,1,,1,1,1,,,,1,,1.609437912,
2017-18,Ségou,513001,,1,2,,,1,,,,,1,,,1,,1.791759469,
2017-18,Ségou,513002,,1,,,,1,,,1,,1,1,1,,,1.791759469,
2017-18,Ségou,513003,,1,1,,,1,,,1,,2,,,1,,1.945910149,
2017-18,Ségou,513004,,,1,1,,1,,,,,,,1,,,1.386294361,
2017-18,Ségou,513005,,,2,,,1,,,,,,,1,,,1.386294361,
2017-18,Ségou,513006,1,1,,,1,,1,1,,,,3,,1,,2.197224577,
2017-18,Ségou,513007,,,,,,,,,,,,,1,,,,
2017-18,Ségou,513008,,2,,,,1,,1,1,,,,,1,,1.791759469,
2017-18,Ségou,513009,,,1,,,1,,,,,,,,1,,1.098612289,
2017-18,Ségou,514001,1,2,1,,,1,,1,1,1,,,1,,,2.197224577,
2017-18,Ségou,514002,1,2,,,1,,,,,,1,2,,1,,2.079441542,
2017-18,Ségou,514003,3,1,,,2,,,,,2,,1,,,,2.197224577,
2017-18,Ségou,514004,1,,,,1,,1,1,,,1,1,1,1,,2.079441542,
2017-18,Ségou,514005,1,4,3,2,,3,,1,2,1,,2,2,1,,3.091042453,
2017-18,Ségou,514006,1,1,1,1,1,2,,1,2,2,,1,,1,,2.63905733,
2017-18,Ségou,514007,,,2,1,,2,1,,1,1,2,,1,,,2.397895273,
2017-18,Ségou,514008,2,,,1,1,1,,,,,1,1,,1,,2.079441542,
2017-18,Ségou,514009,2,,,1,1,,1,,2,1,1,1,1,1,,2.48490665,
2017-18,Ségou,515001,,1,,1,1,1,1,,,,,2,,1,,2.079441542,
2017-18,Ségou,515002,1,1,,,2,,1,,1,1,,1,,1,,2.197224577,
2017-18,Ségou,515003,,,,,1,,1,1,1,,,,1,,,1.609437912,
2017-18,Ségou,515004,,,1,,1,,1,1,2,,,2,,1,,2.197224577,
2017-18,Ségou,515005,2,1,1,1,4,,1,4,1,,1,1,2,1,,2.995732274,
2017-18,Ségou,515006,,,,2,,1,,,1,2,,1,,1,,2.079441542,
2017-18,Ségou,515007,5,1,2,1,5,,,2,3,,1,1,3,,,3.17805383,
2017-18,Ségou,515008,1,,,,1,1,1,,,,,2,,1,,1.945910149,
2017-18,Ségou,515009,,,,4,3,2,1,,,3,2,4,2,1,,3.091042453,
2017-18,Ségou,516001,3,1,2,,3,3,2,1,4,,1,3,2,,,3.218875825,
2017-18,Ségou,516002,,2,,,,1,1,,,,,,,1,,1.609437912,
2017-18,Ségou,516003,1,1,,,1,1,,1,,,,2,,,,1.945910149,
2017-18,Ségou,516004,,3,2,1,,2,1,2,1,3,,,2,1,,2.890371758,
2017-18,Ségou,516005,,,1,2,,1,,,2,1,,2,,1,,2.302585093,
2017-18,Ségou,516006,1,,1,2,,1,1,,1,1,,4,,1,,2.564949357,
2017-18,Ségou,516007,,1,,,,1,,,,1,,1,1,,,1.609437912,
2017-18,Ségou,516008,1,1,1,,1,3,,2,2,1,2,,2,1,,2.833213344,
2017-18,Ségou,516009,1,,,1,2,,2,2,,,1,2,,1,,2.48490665,
2017-18,Ségou,517001,2,2,1,,1,1,,1,,1,,2,1,,,2.48490665,
2017-18,Ségou,517002,,3,1,1,4,,,1,,3,,2,2,,,2.833213344,
2017-18,Ségou,517003,1,1,,1,1,1,1,1,,2,2,,2,,,2.564949357,
2017-18,Ségou,517004,,4,,,4,,2,,,,,,2,2,,2.63905733,
2017-18,Ségou,517005,,,,1,,,2,,,1,,1,,1,,1.791759469,
2017-18,Ségou,517006,,,,2,1,2,1,1,,1,1,4,,1,,2.63905733,
2017-18,Ségou,517007,,,,1,1,2,1,,1,1,,2,,1,,2.302585093,
2017-18,Ségou,517008,1,3,1,1,4,1,3,5,3,2,,3,2,1,,3.401197382,
2017-18,Ségou,517009,1,2,1,2,1,1,1,,2,,,1,2,1,,2.708050201,
2017-18,Ségou,518001,2,11,1,,4,4,,3,1,3,3,3,4,,,3.663561646,
2017-18,Ségou,518002,,1,3,1,5,2,1,,5,9,6,2,3,2,,3.688879454,
2017-18,Ségou,518003,1,,1,,1,1,1,1,1,1,,3,,1,,2.48490665,
2017-18,Ségou,518004,1,2,,,,1,,,1,1,1,,1,,,2.079441542,
2017-18,Ségou,518005,1,,,2,,1,1,1,1,2,,,1,,,2.302585093,
2017-18,Ségou,518006,,,,,2,,1,2,2,2,,,1,1,,2.397895273,
2017-18,Ségou,518007,1,3,2,,2,,1,2,2,2,2,1,3,,,3.044522438,
2017-18,Ségou,518008,2,2,2,2,3,2,1,1,5,2,1,1,2,,,3.258096538,
2017-18,Ségou,518009,1,,2,2,,1,,1,1,,1,2,1,,,2.48490665,
2017-18,Ségou,519001,,,,,2,,1,1,1,,,,,,,1.609437912,
2017-18,Ségou,519002,1,4,1,,3,2,,4,3,,1,4,1,1,,3.218875825,
2017-18,Ségou,519003,,2,1,,2,1,1,3,3,1,,,3,,,2.833213344,
2017-18,Ségou,519004,,3,,1,1,1,,,,,,1,1,,,2.079441542,
2017-18,Ségou,519005,1,1,2,,,1,,,2,,,,1,,,2.079441542,
2017-18,Ségou,519006,6,4,2,,2,2,1,2,4,2,2,2,1,,,3.401197382,
2017-18,Ségou,519007,3,5,,2,3,2,,1,4,1,,2,2,1,,3.258096538,
2017-18,Ségou,519008,,5,2,,1,2,,1,,1,1,1,,2,,2.772588722,
2017-18,Ségou,519009,1,,,,1,,1,,,,,2,,1,,1.791759469,
2017-18,Kayes,52003,,,,2,1,1,1,2,1,1,1,2,,1,,2.564949357,
2017-18,Kayes,52006,,1,1,1,,1,,1,1,,1,,,1,,2.079441542,
2017-18,Kayes,52009,,1,,,,,1,1,1,1,1,,,,,1.791759469,
2017-18,Ségou,520001,3,1,1,,4,2,,3,3,3,2,2,4,1,,3.36729583,
2017-18,Ségou,520002,,,,,2,,1,1,,3,1,2,,,,2.302585093,
2017-18,Ségou,520003,1,1,,,1,,,1,1,,,1,,,,1.791759469,
2017-18,Ségou,520004,6,4,1,1,4,1,1,4,2,,1,1,3,1,,3.401197382,
2017-18,Ségou,520005,,1,,1,1,1,,2,1,,4,1,,1,,2.564949357,
2017-18,Ségou,520006,3,1,1,2,3,1,1,,5,4,,1,3,1,,3.258096538,
2017-18,Ségou,520007,,,,,4,,,,1,1,1,1,2,,,2.302585093,
2017-18,Ségou,520008,1,2,,,,1,,1,2,1,1,,,1,,2.302585093,
2017-18,Ségou,520009,4,2,,,3,,1,4,4,,,,3,,,3.044522438,
2017-18,Ségou,521001,,2,3,2,,2,1,,1,,1,,3,,,2.708050201,
2017-18,Ségou,521002,,2,,1,,1,,,,1,1,,,1,,1.945910149,
2017-18,Ségou,521003,4,2,,1,2,2,1,1,3,1,,,2,1,,2.995732274,
2017-18,Ségou,521004,,2,,1,1,,1,1,,1,,,1,,,2.079441542,
2017-18,Ségou,521005,3,2,1,2,3,5,,2,1,2,,2,2,2,,3.295836866,
2017-18,Ségou,521006,1,,1,2,1,2,1,,,,,2,1,2,,2.564949357,
2017-18,Ségou,521007,,1,,1,,2,,,,,,1,,1,,1.791759469,
2017-18,Ségou,521008,,,,,1,,1,1,2,1,,1,1,1,,2.197224577,
2017-18,Ségou,521009,3,4,4,3,6,5,1,5,12,4,2,2,4,1,,4.025351691,
2017-18,Ségou,522001,,,,2,,,1,,,,,3,1,1,,2.079441542,
2017-18,Ségou,522002,2,1,,1,2,1,,,,,,2,,1,,2.302585093,
2017-18,Ségou,522003,2,1,,1,1,2,1,,,1,,,1,,,2.302585093,
2017-18,Ségou,522004,2,1,,2,1,2,2,1,3,,2,,2,1,,2.944438979,
2017-18,Ségou,522005,,,2,1,,1,1,,1,,,2,1,,,2.197224577,
2017-18,Ségou,522006,,,1,,,,1,,,,1,,,1,,1.386294361,
2017-18,Ségou,522007,2,,,3,1,1,,,,1,1,2,,1,,2.48490665,
2017-18,Ségou,522008,1,,2,1,1,1,,1,2,,,1,,1,,2.397895273,
2017-18,Ségou,522009,,1,1,,1,,,1,1,1,,,1,,,1.945910149,
2017-18,Ségou,523001,,1,,,,1,,1,1,1,,,1,,,1.791759469,
2017-18,Ségou,523002,1,1,,1,3,3,,,2,,,1,1,1,,2.63905733,
2017-18,Ségou,523003,1,,1,,1,,,,,1,,,1,,,1.609437912,
2017-18,Ségou,523004,2,,1,,4,2,,3,1,,,1,2,,,2.772588722,
2017-18,Ségou,523005,,1,,,,1,1,1,1,2,,,1,,,2.079441542,
2017-18,Ségou,523006,1,1,,,2,1,1,2,,,,1,1,,,2.302585093,
2017-18,Ségou,523007,2,1,1,,2,1,1,2,2,,1,1,1,,,2.708050201,
2017-18,Ségou,523008,1,,1,1,2,1,1,1,3,1,2,1,1,,,2.772588722,
2017-18,Ségou,523009,,1,3,,2,,1,1,,2,,,1,,,2.397895273,
2017-18,Ségou,524001,1,1,2,2,,2,,,,2,2,1,,1,,2.63905733,
2017-18,Ségou,524002,1,3,3,2,3,3,1,2,1,2,2,2,2,1,,3.33220451,
2017-18,Ségou,524003,,,,,1,,1,,2,,,,1,,,1.609437912,
2017-18,Ségou,524004,,1,,1,1,2,,,1,,1,,,2,,2.197224577,
2017-18,Ségou,524005,1,2,2,,2,1,,,3,1,,,1,1,,2.63905733,
2017-18,Ségou,524006,1,,,,,1,,,1,1,1,,1,,,1.791759469,
2017-18,Ségou,524007,2,4,,1,3,,,1,,,,2,2,,,2.708050201,
2017-18,Ségou,524008,1,5,2,3,3,2,1,,3,1,1,1,1,2,,3.258096538,
2017-18,Ségou,524009,,2,,,1,1,,2,1,1,1,,2,,,2.397895273,
2017-18,Ségou,525001,2,2,2,2,4,1,,2,5,2,1,1,4,,,3.33220451,
2017-18,Ségou,525002,1,3,,1,3,,,2,,,,2,1,,,2.564949357,
2017-18,Ségou,525003,,1,,2,1,1,1,1,1,2,,,1,,,2.397895273,
2017-18,Ségou,525004,,1,1,1,1,1,1,,,,,,1,,,1.945910149,
2017-18,Ségou,525005,,,1,,,1,1,,,,3,1,1,,,2.079441542,
2017-18,Ségou,525006,2,1,,1,3,,2,3,,2,,,1,1,,2.772588722,
2017-18,Ségou,525007,2,1,1,1,1,,1,,1,,,1,1,1,,2.397895273,
2017-18,Ségou,525008,,,,,1,,3,2,1,,1,1,,1,,2.302585093,
2017-18,Ségou,525009,,1,1,1,1,2,,,3,1,2,,1,1,,2.63905733,
2017-18,Ségou,526001,1,1,1,1,1,,1,2,,,,1,1,,,2.302585093,
2017-18,Ségou,526002,2,3,1,,5,6,1,7,3,3,4,1,5,1,,3.737669618,
2017-18,Ségou,526003,,1,,1,1,4,,2,1,1,2,2,1,,,2.772588722,
2017-18,Ségou,526004,1,1,,1,3,2,1,,1,3,5,3,2,1,,3.17805383,
2017-18,Ségou,526005,2,,,1,,1,1,1,1,2,1,1,1,,,2.48490665,
2017-18,Ségou,526006,1,,1,,,1,1,2,1,1,,2,1,,,2.397895273,
2017-18,Ségou,526007,1,1,2,,3,1,1,2,1,2,1,2,2,,,2.944438979,
2017-18,Ségou,526008,,1,,,1,1,,1,,2,2,1,,,,2.197224577,
2017-18,Ségou,526009,1,,1,1,,1,1,1,2,1,1,1,1,1,,2.564949357,
2017-18,Ségou,527002,,,,,,1,,,,,1,3,1,,,1.791759469,
2017-18,Ségou,527003,2,1,,2,3,3,,4,2,1,,4,3,3,,3.33220451,
2017-18,Ségou,527004,,,,,1,1,,2,1,,,1,,1,,1.945910149,
2017-18,Ségou,527005,5,2,1,1,3,3,,1,1,2,2,2,1,1,,3.218875825,
2017-18,Ségou,527006,1,1,4,1,2,,,4,3,2,1,4,2,1,,3.258096538,
2017-18,Ségou,527007,,,,,1,1,,,,1,1,,,,,1.386294361,
2017-18,Ségou,527008,,,2,,1,,,,,1,1,1,1,,,1.945910149,
2017-18,Ségou,527009,1,2,,1,5,2,,1,1,2,,4,1,1,,3.044522438,
2017-18,Ségou,528002,5,4,,,2,1,1,2,1,,1,1,2,1,,3.044522438,
2017-18,Ségou,528003,3,,2,1,3,5,,2,1,1,3,7,2,4,,3.526360525,
2017-18,Ségou,528004,1,3,3,,1,1,,,,2,1,,,1,,2.564949357,
2017-18,Ségou,528006,1,1,1,,2,,,2,1,,,1,1,,,2.302585093,
2017-18,Ségou,528007,3,1,1,,2,,1,2,,1,1,1,1,,,2.63905733,
2017-18,Ségou,528008,,2,1,,2,,3,1,,2,3,1,2,1,,2.890371758,
2017-18,Ségou,528009,,5,4,2,3,4,3,2,1,3,3,7,3,1,,3.713572067,
2017-18,Ségou,529001,2,1,1,,,3,,2,1,1,3,,1,1,,2.772588722,
2017-18,Ségou,529002,,,2,,,,,,,,,,,1,,1.098612289,
2017-18,Ségou,529003,,1,,,,2,,,1,3,,7,2,2,,2.890371758,
2017-18,Ségou,529004,3,1,,2,2,3,3,2,4,2,,8,3,5,,3.63758616,
2017-18,Ségou,529005,,,1,1,2,2,,2,2,1,,4,3,,,2.890371758,
2017-18,Ségou,529006,2,,,1,1,1,,3,1,2,1,,1,,,2.564949357,
2017-18,Ségou,529007,,,1,1,1,1,2,2,3,1,2,1,1,,,2.772588722,
2017-18,Ségou,529009,2,4,1,2,1,2,2,2,,1,,4,4,3,,3.33220451,
2017-18,Kayes,53003,2,,,,,1,,,1,2,,,,1,,1.945910149,
2017-18,Kayes,53009,2,1,,1,3,1,1,1,,1,,1,3,,,2.708050201,
2017-18,Ségou,530001,,,2,1,1,2,,,,2,2,,3,,,2.564949357,
2017-18,Ségou,530002,,4,1,,,2,,,,1,2,,1,1,,2.48490665,
2017-18,Ségou,530003,,1,2,,3,1,,1,2,,1,,2,,,2.564949357,
2017-18,Ségou,530004,,2,,1,1,1,,,3,1,,,1,,,2.302585093,
2017-18,Ségou,530005,1,,1,,1,2,,1,3,1,,,2,,,2.48490665,
2017-18,Ségou,530006,1,1,2,,1,1,,1,2,1,1,,2,,,2.564949357,
2017-18,Ségou,530007,,,1,,1,1,,,,1,1,1,1,,,1.945910149,
2017-18,Ségou,530008,2,1,1,2,2,,,,,1,,1,1,,,2.397895273,
2017-18,Ségou,530009,1,1,,,3,,,,3,1,,1,2,,,2.48490665,
2017-18,Ségou,531001,1,1,,,1,,1,,2,1,1,,1,1,,2.302585093,
2017-18,Ségou,531002,1,1,1,1,1,1,,1,2,1,1,1,2,,,2.63905733,
2017-18,Ségou,531003,,3,2,,,3,,1,3,4,,,,1,,2.833213344,
2017-18,Ségou,531004,2,1,,,2,1,,1,5,,,,3,,,2.708050201,
2017-18,Ségou,531005,,1,,,2,,,1,2,,,,2,,,2.079441542,
2017-18,Ségou,531006,1,1,1,,1,1,,,1,1,,,1,1,,2.197224577,
2017-18,Ségou,531007,1,,1,1,1,,,1,2,1,,1,1,,,2.302585093,
2017-18,Ségou,531008,1,1,,,2,1,,3,2,1,,,3,,,2.63905733,
2017-18,Ségou,531009,,2,1,,2,1,,1,1,,,1,2,,,2.397895273,
2017-18,Ségou,532001,,1,,,4,1,,,3,,,1,3,1,,2.63905733,
2017-18,Ségou,532002,,1,1,,,1,,,1,1,,,1,,,1.791759469,
2017-18,Ségou,532003,,1,2,1,1,1,1,,,,1,1,1,1,,2.397895273,
2017-18,Ségou,532004,,3,1,,1,1,,2,1,,,,2,,,2.397895273,
2017-18,Ségou,532005,,1,,,,1,,,,2,,,1,,,1.609437912,
2017-18,Ségou,532006,,,1,,1,1,,,1,,1,1,,1,,1.945910149,
2017-18,Ségou,532008,,1,,,1,1,,,3,,,,1,,,1.945910149,
2017-18,Ségou,532009,,1,1,,,1,,,1,1,,,1,,,1.791759469,
2017-18,Ségou,533001,1,1,1,,2,1,,2,1,,1,1,1,1,,2.564949357,
2017-18,Ségou,533002,,,2,,1,,1,,,1,,,,1,,1.791759469,
2017-18,Ségou,533003,,,1,,1,2,1,1,,,1,3,,1,,2.397895273,
2017-18,Ségou,533004,,1,,,1,,,2,,,,,,1,,1.609437912,
2017-18,Ségou,533005,1,,1,,,1,,,1,1,1,1,1,,,2.079441542,
2017-18,Ségou,533006,,,,,2,,1,,1,1,,1,2,,,2.079441542,
2017-18,Ségou,533007,,1,1,1,,1,,1,,,,1,,1,,1.945910149,
